mode,n_qubits,n_threads,mean_ms,std_ms,speedup_vs_baseline,peak_memory_mb,final_rank,status
iterative_compression,12,2,45915.46510000868,7310.176284793257,1.482060370112665,8.650752,132.33333333333334,ok
iterative_compression,12,4,35863.33350000981,5750.196659052745,1.8974669825379007,8.650752,132.33333333333334,ok
iterative_compression,12,8,30041.190099999465,4701.234781036245,2.265206237618903,8.650752,132.33333333333334,ok
iterative_compression,12,16,32993.79463332783,4243.686267385422,2.062493628158659,8.650752,132.33333333333334,ok
full_opt,12,1,77662.3952666802,13679.549554992429,0.8762218956335687,8.650752,132.33333333333334,ok
full_opt,12,2,47221.52419999475,6922.7132342920395,1.4410693503201573,8.650752,132.33333333333334,ok
full_opt,12,4,35626.69333332451,5621.883178474796,1.910070366714664,8.650752,132.33333333333334,ok
full_opt,12,8,30611.743833345827,4327.268458191542,2.222986431955134,8.650752,132.33333333333334,ok
full_opt,12,16,33866.502400022,5228.792237394891,2.009345116192743,8.650752,132.33333333333334,ok
baseline,14,1,417872.91763332905,72071.53533500437,0.9184571863945664,40.108032,153.66666666666666,ok
baseline,14,2,244026.1724666731,51606.093368445756,1.5727754950236394,40.108032,153.66666666666666,ok
baseline,14,4,154809.3985999973,23237.52645368816,2.4791672060665344,40.108032,153.66666666666666,ok
baseline,14,8,115788.03413332207,20005.093043734796,3.314663618505501,40.108032,153.66666666666666,ok
baseline,14,16,121709.09780000027,20499.016709204137,3.1534075195485918,40.108032,153.66666666666666,ok
iterative_compression,14,1,419092.91086666053,73941.18237023977,0.9157835273479629,40.108032,153.66666666666666,ok
iterative_compression,14,2,231612.65430001853,42729.91347723342,1.6570700135530767,40.108032,153.66666666666666,ok
